"Year","Month","Cases","Date"
2005,"Jan",1352,2005-01-01
2005,"Feb",1288,2005-02-01
2005,"Mar",767,2005-03-01
2005,"Apr",728,2005-04-01
2005,"May",749,2005-05-01
2005,"Jun",740,2005-06-01
2005,"Jul",913,2005-07-01
2005,"Aug",1260,2005-08-01
2005,"Sep",1387,2005-09-01
2005,"Oct",1372,2005-10-01
2005,"Nov",1666,2005-11-01
2005,"Dec",1610,2005-12-01
2006,"Jan",1630,2006-01-01
2006,"Feb",1464,2006-02-01
2006,"Mar",1265,2006-03-01
2006,"Apr",832,2006-04-01
2006,"May",1480,2006-05-01
2006,"Jun",1291,2006-06-01
2006,"Jul",1073,2006-07-01
2006,"Aug",1214,2006-08-01
2006,"Sep",1228,2006-09-01
2006,"Oct",1234,2006-10-01
2006,"Nov",1654,2006-11-01
2006,"Dec",1510,2006-12-01
2007,"Jan",2045,2007-01-01
2007,"Feb",1454,2007-02-01
2007,"Mar",1145,2007-03-01
2007,"Apr",677,2007-04-01
2007,"May",923,2007-05-01
2007,"Jun",825,2007-06-01
2007,"Jul",881,2007-07-01
2007,"Aug",859,2007-08-01
2007,"Sep",920,2007-09-01
2007,"Oct",1018,2007-10-01
2007,"Nov",1142,2007-11-01
2007,"Dec",896,2007-12-01
2008,"Jan",695,2008-01-01
2008,"Feb",616,2008-02-01
2008,"Mar",449,2008-03-01
2008,"Apr",397,2008-04-01
2008,"May",382,2008-05-01
2008,"Jun",274,2008-06-01
2008,"Jul",387,2008-07-01
2008,"Aug",565,2008-08-01
2008,"Sep",573,2008-09-01
2008,"Oct",632,2008-10-01
2008,"Nov",786,2008-11-01
2008,"Dec",926,2008-12-01
2009,"Jan",791,2009-01-01
2009,"Feb",594,2009-02-01
2009,"Mar",507,2009-03-01
2009,"Apr",423,2009-04-01
2009,"May",425,2009-05-01
2009,"Jun",397,2009-06-01
2009,"Jul",416,2009-07-01
2009,"Aug",561,2009-08-01
2009,"Sep",574,2009-09-01
2009,"Oct",648,2009-10-01
2009,"Nov",973,2009-11-01
2009,"Dec",890,2009-12-01
2010,"Jan",839,2010-01-01
2010,"Feb",705,2010-02-01
2010,"Mar",571,2010-03-01
2010,"Apr",510,2010-04-01
2010,"May",449,2010-05-01
2010,"Jun",453,2010-06-01
2010,"Jul",442,2010-07-01
2010,"Aug",628,2010-08-01
2010,"Sep",665,2010-09-01
2010,"Oct",626,2010-10-01
2010,"Nov",750,2010-11-01
2010,"Dec",674,2010-12-01
2011,"Jan",548,2011-01-01
2011,"Feb",458,2011-02-01
2011,"Mar",473,2011-03-01
2011,"Apr",411,2011-04-01
2011,"May",482,2011-05-01
2011,"Jun",423,2011-06-01
2011,"Jul",491,2011-07-01
2011,"Aug",573,2011-08-01
2011,"Sep",565,2011-09-01
2011,"Oct",546,2011-10-01
2011,"Nov",747,2011-11-01
2011,"Dec",972,2011-12-01
2012,"Jan",999,2012-01-01
2012,"Feb",661,2012-02-01
2012,"Mar",557,2012-03-01
2012,"Apr",455,2012-04-01
2012,"May",521,2012-05-01
2012,"Jun",342,2012-06-01
2012,"Jul",327,2012-07-01
2012,"Aug",531,2012-08-01
2012,"Sep",554,2012-09-01
2012,"Oct",664,2012-10-01
2012,"Nov",710,2012-11-01
2012,"Dec",712,2012-12-01
2013,"Jan",735,2013-01-01
2013,"Feb",514,2013-02-01
2013,"Mar",385,2013-03-01
2013,"Apr",324,2013-04-01
2013,"May",396,2013-05-01
2013,"Jun",373,2013-06-01
2013,"Jul",524,2013-07-01
2013,"Aug",637,2013-08-01
2013,"Sep",663,2013-09-01
2013,"Oct",656,2013-10-01
2013,"Nov",731,2013-11-01
2013,"Dec",898,2013-12-01
2014,"Jan",774,2014-01-01
2014,"Feb",534,2014-02-01
2014,"Mar",509,2014-03-01
2014,"Apr",401,2014-04-01
2014,"May",394,2014-05-01
2014,"Jun",388,2014-06-01
2014,"Jul",380,2014-07-01
2014,"Aug",506,2014-08-01
2014,"Sep",545,2014-09-01
2014,"Oct",682,2014-10-01
2014,"Nov",776,2014-11-01
2014,"Dec",881,2014-12-01
